table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
mdjs_case_confinement_data,confinement_end_date,7,VARCHAR,NA,217472,87383,0.6214728660017718,2.49,FALSE,date
mdjs_case_confinement_data,confinement_location,5,VARCHAR,NA,349930,125,1,2799.44,FALSE,other
mdjs_case_confinement_data,confinement_reason,4,VARCHAR,NA,349929,6,0.9999971422856,58321.5,FALSE,group: <= 10
mdjs_case_confinement_data,confinement_type,3,VARCHAR,NA,349930,2,1,174965,FALSE,group: dichotomous
mdjs_case_confinement_data,confining_judge,8,VARCHAR,NA,349853,970,0.9997799559911983,360.67,FALSE,other
mdjs_case_confinement_data,defendant_name,2,VARCHAR,NA,349930,237936,1,1.47,TRUE,likely key
mdjs_case_confinement_data,docket_number,1,VARCHAR,NA,349930,329526,1,1.06,FALSE,key
mdjs_case_data,arrest_date,6,VARCHAR,938595,401274,4803,0.42752624934077,83.55,FALSE,drop: many nulls
mdjs_case_data,case_status,7,VARCHAR,938595,938595,4,1,234648.75,FALSE,group: <= 10
mdjs_case_data,county,1,VARCHAR,938595,938595,66,1,14221.14,FALSE,other
mdjs_case_data,defendant_dob,11,DATE,938595,932783,23303,0.9938077658628056,40.03,TRUE,date
mdjs_case_data,defendant_gender,9,VARCHAR,938595,932358,3,0.9933549614050788,310786,FALSE,group: <= 10
mdjs_case_data,defendant_name,8,VARCHAR,938595,938595,655452,1,1.43,TRUE,likely key
mdjs_case_data,defendant_race,10,VARCHAR,938595,928079,8,0.988796019582461,116009.88,FALSE,group: <= 10
mdjs_case_data,defendant_zip_code,12,VARCHAR,938595,924891,23564,0.985399453438384,39.25,FALSE,other
mdjs_case_data,docket_number,2,VARCHAR,938595,938595,938595,1,1,FALSE,key
mdjs_case_data,filed_date,4,VARCHAR,938595,938595,708752,1,1.32,FALSE,date
mdjs_case_data,initiation_date,5,VARCHAR,938595,938595,724354,1,1.3,FALSE,date
